"","ASV","Feature.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Consensus"
"1","ASV1716","000006f767a64ae561215291304df0ab","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2","ASV3458","0016a37896155711d9e61dd7b2a16e9a","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Saccharomycopsidaceae"," g__Saccharomycopsis",NA,0.9
"3","ASV3164","0019656f9b8591346241cb195633c86b","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"4","ASV3936","002d6bc950fe01541c28ce3df5e976fa","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes",NA,NA,NA,NA,0.8
"5","ASV944","003f2d776815b82ee9436cc316c8fb6a","d__Eukaryota"," p__Ascomycota"," c__Lecanoromycetes",NA,NA,NA,NA,0.6
"6","ASV3068","004ad5ba0572b33be534f2393b942e98","d__Eukaryota"," p__Chytridiomycota",NA,NA,NA,NA,NA,0.8
"7","ASV4241","0079ebc4cafe7db9bb4d68dbfc162efb","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Stachybotryaceae",NA,NA,0.6
"8","ASV552","007a6069a5e6ea694e96867d42e389fa","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.9
"9","ASV1445","00a3d2ec0493ed7ffd30412c9a867fb9","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Onygenales"," f__Arthrodermataceae",NA,NA,0.7
"10","ASV1757","00a67dfeb83e14fa71ec296500e94b17","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales"," f__Cuniculitremaceae"," g__Kockovaella",NA,1
"11","ASV1985","00b58005ebf3767fef18363c4f4a7d94","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Apiosporaceae"," g__Arthrinium",NA,0.7
"12","ASV2867","00cf919de050774550ebf0c4bbd95de5","d__Eukaryota"," p__Labyrinthulomycetes",NA,NA,NA,NA,NA,0.8
"13","ASV577","00d9150d3bb0d4232ae9cca711271c34","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"14","ASV670","00df8ce3d2754c19349a5582cc50e754","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes"," o__Microbotryomycetes"," f__Microbotryomycetes"," g__Microbotryomycetes"," s__Trigonosporomyces_hylophilus",1
"15","ASV302","00e5963f1f4ce9fc621c7c53d794741e","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.6
"16","ASV1448","00e633299744d0e4aa80374230530518","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Metschnikowiaceae"," g__Metschnikowia",NA,1
"17","ASV818","0100bf6984c052b4798e2717cc37e77d","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Ceratobasidiaceae",NA,NA,0.7
"18","ASV1705","01061936a36af147f1d0765e574ecc39","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Incertae_Sedis"," g__Acremonium",NA,0.6
