"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"EXT-NEG-1-SSU_S77_L001_R1_001.fastq.gz",33014,766,565,569,0,0
"EXT-NEG-10-SSU_S125_L001_R1_001.fastq.gz",29659,61,9,14,0,0
"EXT-NEG-11-SSU_S155_L001_R1_001.fastq.gz",25172,7121,6928,6931,0,0
"EXT-NEG-12-SSU_S189_L001_R1_001.fastq.gz",25709,4817,4654,4663,0,0
"EXT-NEG-13-SSU_S215_L001_R1_001.fastq.gz",63082,1681,1535,1576,0,0
"EXT-NEG-14-SSU_S319_L001_R1_001.fastq.gz",68756,509,411,431,0,0
"EXT-NEG-15-SSU_S337_L001_R1_001.fastq.gz",39979,1603,1487,1497,0,0
"EXT-NEG-16-SSU_S376_L001_R1_001.fastq.gz",329,45,10,16,0,0
"EXT-NEG-17-SSU_S425_L001_R1_001.fastq.gz",56919,122,4,18,0,0
"EXT-NEG-18-SSU_S413_L001_R1_001.fastq.gz",58673,1373,1275,1296,0,0
"EXT-NEG-2-SSU_S283_L001_R1_001.fastq.gz",29286,8672,8387,8394,0,0
"EXT-NEG-3-SSU_S28_L001_R1_001.fastq.gz",38580,210,155,168,151,151
"EXT-NEG-4-SSU_S52_L001_R1_001.fastq.gz",60404,128,5,1,0,0
"EXT-NEG-5-SSU_S80_L001_R1_001.fastq.gz",55528,3711,3458,3521,0,0
"EXT-NEG-6-SSU_S8_L001_R1_001.fastq.gz",24428,15831,15306,15425,437,437
"EXT-NEG-7-SSU_S254_L001_R1_001.fastq.gz",47902,101,5,26,0,0
"EXT-NEG-8-SSU_S104_L001_R1_001.fastq.gz",20693,759,564,595,0,0
"EXT-NEG-9-SSU_S175_L001_R1_001.fastq.gz",24722,40,1,4,0,0
"EXT-NEG-I1-SSU_S446_L001_R1_001.fastq.gz",48569,208,128,157,0,0
"EXT-NEG-I2-SSU_S466_L001_R1_001.fastq.gz",65557,111,9,28,0,0
"P1-PCR-NEG-SSU_S87_L001_R1_001.fastq.gz",80562,152,3,8,0,0
"P2-PCR-NEG-SSU_S179_L001_R1_001.fastq.gz",32890,1930,1830,1843,0,0
"P3-PCR-NEG-SSU_S270_L001_R1_001.fastq.gz",56663,298,157,192,0,0
"P4-PCR-NEG-SSU_S358_L001_R1_001.fastq.gz",89234,225,95,123,0,0
"P5-PCR-NEG-SSU_S431_L001_R1_001.fastq.gz",334,157,101,116,0,0
"P6-PCR-NEG-SSU_S468_L001_R1_001.fastq.gz",47401,75,1,1,0,0
"PCR-POS-SSU_S467_L001_R1_001.fastq.gz",37331,31396,30531,30538,0,0
"SAR-Blank-W02-R1-SSU_S7_L001_R1_001.fastq.gz",27906,22501,21537,21682,20,20
"SAR-Blank-Wpool-R1-SSU_S58_L001_R1_001.fastq.gz",34800,6380,6003,6009,0,0
"SAR-Blank-WPool-R2-SSU_S94_L001_R1_001.fastq.gz",37048,9275,8989,9015,4,4
"SAR-Blank2-W02-R3-SSU_S303_L001_R1_001.fastq.gz",61944,6807,6432,6457,0,0
"SAR-Blank2-Wpool-R1-SSU_S172_L001_R1_001.fastq.gz",5253,1467,1358,1370,9,9
"SAR-Blank2-Wpool-R2-SSU_S83_L001_R1_001.fastq.gz",19375,319,40,49,0,0
"SAR-Blank3-W02-R3-SSU_S81_L001_R1_001.fastq.gz",41506,10497,10110,10124,0,0
"SAR-Blank3-Wpool-R1-SSU_S292_L001_R1_001.fastq.gz",37644,10254,9989,10000,0,0
"SAR-Blank3-Wpool-R2-SSU_S216_L001_R1_001.fastq.gz",39556,19837,19170,19209,0,0
"SAR-Blank4-W02-R3-SSU_S196_L001_R1_001.fastq.gz",37847,2320,2191,2205,0,0
"SAR-Blank4-Wpool-R1-SSU_S297_L001_R1_001.fastq.gz",52212,5073,4833,4867,0,0
"SAR-Blank4-Wpool-R2-SSU_S238_L001_R1_001.fastq.gz",57037,5144,4923,4939,0,0
"SAR-Blank5-W02-R3-SSU_S406_L001_R1_001.fastq.gz",62808,177,32,72,0,0
"SAR-Blank5-Wpool-R-SSU_S268_L001_R1_001.fastq.gz",34413,16489,15975,15919,0,0
"SAR-Blank5-Wpool-R2-SSU_S299_L001_R1_001.fastq.gz",45721,8588,8274,8312,242,242
"SAR-Blank6-W02-R3-SSU_S273_L001_R1_001.fastq.gz",27067,10515,10260,10261,0,0
"SAR-Blank6-Wpool-R-SSU_S157_L001_R1_001.fastq.gz",18407,8071,7884,7893,0,0
"SAR-Blank6-Wpool-R2-SSU_S122_L001_R1_001.fastq.gz",31969,76,8,19,0,0
"SAR-BR-1-I-R1-SSU_S432_L001_R1_001.fastq.gz",50628,39783,38824,38801,56,56
"SAR-BR-10-I-R1-SSU_S440_L001_R1_001.fastq.gz",30387,18182,17495,17547,53,53
"SAR-BR-11-I-R1-SSU_S441_L001_R1_001.fastq.gz",34510,26348,25590,25693,517,517
"SAR-BR-12-I-R1-SSU_S442_L001_R1_001.fastq.gz",38948,30973,30442,30454,0,0
"SAR-BR-13-I-R1-SSU_S443_L001_R1_001.fastq.gz",30632,19738,19246,19254,15,15
"SAR-BR-13-I-R2-SSU_S444_L001_R1_001.fastq.gz",28829,22201,21733,21733,591,591
