"","input","filtered","denoised","nonchim","pct_kept"
"EXT-NEG-1-SSU_S77_L001_R1_001.fastq.gz",33014,766,685,685,0.0207487732477131
"EXT-NEG-10-SSU_S125_L001_R1_001.fastq.gz",29659,61,27,27,0.000910347617923733
"EXT-NEG-11-SSU_S155_L001_R1_001.fastq.gz",25172,7121,7102,7097,0.28194025107262
"EXT-NEG-12-SSU_S189_L001_R1_001.fastq.gz",25709,4817,4782,4771,0.185577035279474
"EXT-NEG-13-SSU_S215_L001_R1_001.fastq.gz",63082,1681,1572,1572,0.0249199454678038
"EXT-NEG-14-SSU_S319_L001_R1_001.fastq.gz",68756,509,434,434,0.00631217639187853
"EXT-NEG-15-SSU_S337_L001_R1_001.fastq.gz",39979,1603,1533,1533,0.0383451311938768
"EXT-NEG-16-SSU_S376_L001_R1_001.fastq.gz",329,45,14,14,0.0425531914893617
"EXT-NEG-17-SSU_S425_L001_R1_001.fastq.gz",56919,122,27,27,0.000474358298634902
"EXT-NEG-18-SSU_S413_L001_R1_001.fastq.gz",58673,1373,1320,1320,0.0224975712849181
"EXT-NEG-2-SSU_S283_L001_R1_001.fastq.gz",29286,8672,8644,8632,0.294748343918596
"EXT-NEG-3-SSU_S28_L001_R1_001.fastq.gz",38580,210,158,158,0.00409538621047175
"EXT-NEG-4-SSU_S52_L001_R1_001.fastq.gz",60404,128,51,51,0.000844314946030064
"EXT-NEG-5-SSU_S80_L001_R1_001.fastq.gz",55528,3711,3586,3586,0.0645800316957211
"EXT-NEG-6-SSU_S8_L001_R1_001.fastq.gz",24428,15831,15623,15320,0.627149173080072
"EXT-NEG-7-SSU_S254_L001_R1_001.fastq.gz",47902,101,11,11,0.000229635505824391
"EXT-NEG-8-SSU_S104_L001_R1_001.fastq.gz",20693,759,699,699,0.0337795389745325
"EXT-NEG-9-SSU_S175_L001_R1_001.fastq.gz",24722,40,7,7,0.000283148612571798
"EXT-NEG-I1-SSU_S446_L001_R1_001.fastq.gz",48569,208,160,160,0.00329428236117688
"EXT-NEG-I2-SSU_S466_L001_R1_001.fastq.gz",65557,111,40,15,0.000228808517778422
"P1-PCR-NEG-SSU_S87_L001_R1_001.fastq.gz",80562,152,20,20,0.000248256001588838
"P2-PCR-NEG-SSU_S179_L001_R1_001.fastq.gz",32890,1930,1871,1871,0.0568865916692004
"P3-PCR-NEG-SSU_S270_L001_R1_001.fastq.gz",56663,298,209,209,0.00368847396007977
"P4-PCR-NEG-SSU_S358_L001_R1_001.fastq.gz",89234,225,122,122,0.00136719187753547
