Label,"Bromeliad number 
(use this on the tag)","Bromeliad size
class",Location,Date Collected,Time Collected,Tag bromeliad?,Picture?,Diameter,Height,Dissolved Oyxgen,Temperature,Water collected?,Detritus collected?,"Water volume 
(in lab - mL)","Filtered water 
collected + labelled?",pH,"Detritus prepared 
for freeze dry?",Dry weight detritus,Toxo?,"Number of 
invertebrates","Invert
Weight","Number of
Pooled Filters","Number of
0.2 Filters","Number of
tubes (pooled)","Number of
tubes (0.2)","Number of
Invert Tubes ",Complexity,Nitrate (Water),%C (detritus),%N (detritus),Notes
SAR_BR_1,1,Small,Lyon,11/30/2022,10:00,TRUE,TRUE,30,25,1.1,24.4,TRUE,TRUE,71,TRUE,7.44,TRUE,0.7509,No,4,0.1,2,1,2,1,1,16,0,43.86,1.92,
SAR_BR_2,2,Medium,Lyon,11/30/2022,9:00,TRUE,TRUE,67,52,2.1,22,TRUE,TRUE,715,TRUE,6.75,TRUE,3.9492,Yes,43,9.3,5,4,5,4,1,47,0,47.35,2.14,1 morpho_L5
SAR_BR_3,3,Large,Lyon,11/30/2022,10:00,TRUE,TRUE,89,45,5.2,24.5,TRUE,TRUE,1385,TRUE,8.78,TRUE,5.1791,Yes,22,5.3,6,5,6,5,1,23,0.0206,46.86,2.02,
SAR_BR_4,4,Small,Lyon,12/5/2022,9:00,TRUE,TRUE,34,22,3.4,24.1,TRUE,TRUE,90,TRUE,7.91,TRUE,0.2768,No,2,0.1,2,2,2,2,1,10,0.0206,44.03,0.56,
SAR_BR_5,5,Small,Lyon,12/5/2022,9:00,TRUE,TRUE,25,16,4.7,25,TRUE,TRUE,178,TRUE,8.46,TRUE,0.3627,No,2,0.1,2,1,2,1,1,12,0,29.34,1.19,
SAR_BR_6,6,Large,Lyon,12/5/2022,9:00,TRUE,TRUE,70,81,1.8,22.1,TRUE,TRUE,840,TRUE,6.25,TRUE,4.6799,Yes,23,6.2,7,3,3,3,1,23,0,42.76,1.5,
SAR_BR_7,7,Medium,Lyon,12/5/2022,9:00,TRUE,TRUE,60,46,0.6,22.8,TRUE,TRUE,1770,TRUE,6.69,TRUE,3.751,Yes,49,4.7,6,2,3,2,1,47,0,50.48,1.55,
SAR_BR_8,8,Small,Lyon,12/6/2022,9:15,TRUE,TRUE,36,32,4.1,22.5,TRUE,TRUE,36,TRUE,8.55,TRUE,0.516,No,0,3.8,2,1,2,1,0,14,0,48.35,1.95,No invertebrates
SAR_BR_9,9,Medium,Lyon,12/6/2022,9:15,TRUE,TRUE,70,40,0.6,22,TRUE,TRUE,770,TRUE,8.99,TRUE,2.8617,No,44,,3,3,3,3,1,27,0,49.19,1.21,
SAR_BR_10,10,Large,Lyon,12/6/2022,9:15,TRUE,TRUE,102,86,0.4,22.8,TRUE,TRUE,2900,TRUE,5.81,TRUE,37.0561,Yes,90,13.9,16,11,3,3,1,20,0.0043,45.25,1.11,"2 morpho_L2, 1 morpho_L5"
SAR_BR_11,11,Small,Lyon,12/7/2022,9:15,TRUE,TRUE,43,32,1.6,21.3,TRUE,TRUE,88,TRUE,9.11,TRUE,2.3729,No,4,0.1,2,1,2,1,1,24,0.0424,46.84,1.48,
SAR_BR_12,12,Medium,Lyon,12/7/2022,9:15,TRUE,TRUE,52,46,1,21.7,TRUE,TRUE,320,TRUE,6.83,TRUE,4.8675,No,128,11.6,2,1,2,1,1,20,0,45.26,0.99,many (~100) oliogochates
SAR_BR_13,13,Large,Lyon,12/7/2022,9:15,TRUE,TRUE,91,86,1.9,21.5,TRUE,TRUE,2258,TRUE,5.21,TRUE,27.3707,Yes,133,1.9,7,10,3,3,1,32,0,48.82,0.92,2 toxo
SAR_BR_14,14,Small,Lyon,12/8/2022,9:52,TRUE,TRUE,32,28,1.9,22.3,TRUE,TRUE,280,TRUE,6.5,TRUE,3.8577,No,37,1.2,2,1,2,1,1,15,0,49.01,1.45,
SAR_BR_15,15,Medium,Lyon,12/8/2022,9:26,TRUE,TRUE,45,31,0.7,21,TRUE,TRUE,785,TRUE,6.06,TRUE,3.5449,No,173,13.5,6,5,3,3,2,26,0,46.77,1.49,
SAR_BR_16,16,Medium,Lyon,12/8/2022,9:20,TRUE,TRUE,61,41,1.7,21.2,TRUE,TRUE,2423,TRUE,5.93,TRUE,13.8112,Yes,113,11.7,11,8,3,3,1,5,0.0043,48.13,1.44,
SAR_BR_17,17,Large,Lyon,12/8/2022,9:15,TRUE,TRUE,95,82,5.5,20.9,TRUE,TRUE,2930,TRUE,4.98,TRUE,35.8147,No,51,13.1,15,8,15,15,1,21,0,50.69,1.48,
